ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10367374,HZ103295,01/03/2016 11:00:00 PM,004XX E 30TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0133,001,4,35,14,1179955,1884993,2016,01/10/2016 08:46:55 AM,41.839694322,-87.615135847,"(41.839694322, -87.615135847)"
10367427,HZ103385,01/03/2016 11:00:00 PM,062XX S TROY ST,0820,THEFT,$500 AND UNDER,STREET,false,false,0823,008,15,66,06,1156459,1863048,2016,01/10/2016 08:46:55 AM,41.779981108,-87.701947609,"(41.779981108, -87.701947609)"
10367510,HZ103514,01/03/2016 11:00:00 PM,066XX S RHODES AVE,0890,THEFT,FROM BUILDING,RESIDENCE,false,false,0321,003,20,42,06,1181043,1861072,2016,01/10/2016 08:46:55 AM,41.774028085,-87.611880258,"(41.774028085, -87.611880258)"
10367770,HZ103836,01/03/2016 11:00:00 PM,063XX S PAULINA ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,0725,007,15,67,14,1166086,1862605,2016,01/10/2016 08:46:55 AM,41.778566066,-87.666666085,"(41.778566066, -87.666666085)"
10368335,HZ103164,01/03/2016 10:45:00 PM,029XX W MEDILL AVE,0810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,false,false,1414,014,35,22,06,,,2016,01/10/2016 08:46:55 AM,,,
10366941,HZ103151,01/03/2016 10:45:00 PM,056XX S CARPENTER ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0712,007,16,68,08B,1170274,1867500,2016,01/10/2016 08:46:55 AM,41.791908395,-87.651170238,"(41.791908395, -87.651170238)"
10366988,HZ103134,01/03/2016 10:30:00 PM,022XX N MILWAUKEE AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1431,014,1,22,06,1157572,1914937,2016,01/10/2016 08:46:55 AM,41.922347745,-87.696456264,"(41.922347745, -87.696456264)"
10367054,HZ103242,01/03/2016 10:30:00 PM,003XX E 26TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0133,001,2,33,14,1178590,1887167,2016,01/10/2016 08:46:55 AM,41.845691143,-87.620078491,"(41.845691143, -87.620078491)"
10367059,HZ103257,01/03/2016 10:30:00 PM,105XX S VERNON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENTIAL YARD (FRONT/BACK),false,false,0512,005,9,49,14,1181109,1835216,2016,01/10/2016 08:46:55 AM,41.703074707,-87.612432284,"(41.703074707, -87.612432284)"
10372937,HZ109036,01/03/2016 10:30:00 PM,036XX W 56TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0822,008,14,62,14,,,2016,01/10/2016 08:46:55 AM,,,
